datetime,predicted_visitors
2018-07-01 07:00:00,93.21049677000103
2018-07-01 08:00:00,92.5651360254359
2018-07-01 09:00:00,91.95437842945252
2018-07-01 10:00:00,91.47676397342252
2018-07-01 11:00:00,91.27694449210831
2018-07-01 12:00:00,91.22676651358914
2018-07-01 13:00:00,91.19015732582967
2018-07-01 14:00:00,91.1648603350653
2018-07-01 15:00:00,91.15061162169773
2018-07-01 16:00:00,91.14481795296801
2018-07-01 17:00:00,91.1423925284579
2018-07-01 18:00:00,91.14084725600402
2018-07-01 19:00:00,91.13994956538264
2018-07-01 20:00:00,91.13950063839154
2018-07-01 21:00:00,91.13930029618842
2018-07-01 22:00:00,91.1391994410353
2018-07-01 23:00:00,91.13914126427717
2018-07-02 00:00:00,91.13911032593276
2018-07-02 01:00:00,91.13909515927543
2018-07-02 02:00:00,91.13908780522044
2018-07-02 03:00:00,91.13908393373805
2018-07-02 04:00:00,91.13908183502612
2018-07-02 05:00:00,91.13908075793674
2018-07-02 06:00:00,91.1390802222266
2018-07-02 07:00:00,91.1390799509115
2018-07-02 08:00:00,91.13907980810129
2018-07-02 09:00:00,91.13907973322283
2018-07-02 10:00:00,91.13907969511247
2018-07-02 11:00:00,91.13907967583026
2018-07-02 12:00:00,91.13907966590527
2018-07-02 13:00:00,91.13907966072881
2018-07-02 14:00:00,91.13907965805473
2018-07-02 15:00:00,91.13907965669102
2018-07-02 16:00:00,91.13907965599361
2018-07-02 17:00:00,91.1390796556334
2018-07-02 18:00:00,91.13907965544692
2018-07-02 19:00:00,91.13907965535107
2018-07-02 20:00:00,91.139079655302
2018-07-02 21:00:00,91.13907965527679
2018-07-02 22:00:00,91.13907965526377
2018-07-02 23:00:00,91.13907965525706
2018-07-03 00:00:00,91.13907965525362
2018-07-03 01:00:00,91.13907965525186
2018-07-03 02:00:00,91.13907965525095
2018-07-03 03:00:00,91.13907965525048
2018-07-03 04:00:00,91.13907965525024
2018-07-03 05:00:00,91.13907965525011
2018-07-03 06:00:00,91.13907965525006
2018-07-03 07:00:00,91.13907965525003
2018-07-03 08:00:00,91.13907965525001
2018-07-03 09:00:00,91.13907965525
2018-07-03 10:00:00,91.13907965525
2018-07-03 11:00:00,91.13907965525
2018-07-03 12:00:00,91.13907965525
2018-07-03 13:00:00,91.13907965525
2018-07-03 14:00:00,91.13907965525
2018-07-03 15:00:00,91.13907965525
2018-07-03 16:00:00,91.13907965525
2018-07-03 17:00:00,91.13907965525
2018-07-03 18:00:00,91.13907965525
2018-07-03 19:00:00,91.13907965525
2018-07-03 20:00:00,91.13907965525
2018-07-03 21:00:00,91.13907965525
2018-07-03 22:00:00,91.13907965525
2018-07-03 23:00:00,91.13907965525
2018-07-04 00:00:00,91.13907965525
2018-07-04 01:00:00,91.13907965525
2018-07-04 02:00:00,91.13907965525
2018-07-04 03:00:00,91.13907965525
2018-07-04 04:00:00,91.13907965525
2018-07-04 05:00:00,91.13907965525
2018-07-04 06:00:00,91.13907965525
2018-07-04 07:00:00,91.13907965525
2018-07-04 08:00:00,91.13907965525
2018-07-04 09:00:00,91.13907965525
2018-07-04 10:00:00,91.13907965525
2018-07-04 11:00:00,91.13907965525
2018-07-04 12:00:00,91.13907965525
2018-07-04 13:00:00,91.13907965525
2018-07-04 14:00:00,91.13907965525
2018-07-04 15:00:00,91.13907965525
2018-07-04 16:00:00,91.13907965525
2018-07-04 17:00:00,91.13907965525
2018-07-04 18:00:00,91.13907965525
2018-07-04 19:00:00,91.13907965525
2018-07-04 20:00:00,91.13907965525
2018-07-04 21:00:00,91.13907965525
2018-07-04 22:00:00,91.13907965525
2018-07-04 23:00:00,91.13907965525
2018-07-05 00:00:00,91.13907965525
2018-07-05 01:00:00,91.13907965525
2018-07-05 02:00:00,91.13907965525
2018-07-05 03:00:00,91.13907965525
2018-07-05 04:00:00,91.13907965525
2018-07-05 05:00:00,91.13907965525
2018-07-05 06:00:00,91.13907965525
2018-07-05 07:00:00,91.13907965525
2018-07-05 08:00:00,91.13907965525
2018-07-05 09:00:00,91.13907965525
2018-07-05 10:00:00,91.13907965525
2018-07-05 11:00:00,91.13907965525
2018-07-05 12:00:00,91.13907965525
2018-07-05 13:00:00,91.13907965525
2018-07-05 14:00:00,91.13907965525
2018-07-05 15:00:00,91.13907965525
2018-07-05 16:00:00,91.13907965525
2018-07-05 17:00:00,91.13907965525
2018-07-05 18:00:00,91.13907965525
2018-07-05 19:00:00,91.13907965525
2018-07-05 20:00:00,91.13907965525
2018-07-05 21:00:00,91.13907965525
2018-07-05 22:00:00,91.13907965525
2018-07-05 23:00:00,91.13907965525
2018-07-06 00:00:00,91.13907965525
2018-07-06 01:00:00,91.13907965525
2018-07-06 02:00:00,91.13907965525
2018-07-06 03:00:00,91.13907965525
2018-07-06 04:00:00,91.13907965525
2018-07-06 05:00:00,91.13907965525
2018-07-06 06:00:00,91.13907965525
2018-07-06 07:00:00,91.13907965525
2018-07-06 08:00:00,91.13907965525
2018-07-06 09:00:00,91.13907965525
2018-07-06 10:00:00,91.13907965525
2018-07-06 11:00:00,91.13907965525
2018-07-06 12:00:00,91.13907965525
2018-07-06 13:00:00,91.13907965525
2018-07-06 14:00:00,91.13907965525
2018-07-06 15:00:00,91.13907965525
2018-07-06 16:00:00,91.13907965525
2018-07-06 17:00:00,91.13907965525
2018-07-06 18:00:00,91.13907965525
2018-07-06 19:00:00,91.13907965525
2018-07-06 20:00:00,91.13907965525
2018-07-06 21:00:00,91.13907965525
2018-07-06 22:00:00,91.13907965525
2018-07-06 23:00:00,91.13907965525
2018-07-07 00:00:00,91.13907965525
2018-07-07 01:00:00,91.13907965525
2018-07-07 02:00:00,91.13907965525
2018-07-07 03:00:00,91.13907965525
2018-07-07 04:00:00,91.13907965525
2018-07-07 05:00:00,91.13907965525
2018-07-07 06:00:00,91.13907965525
2018-07-07 07:00:00,91.13907965525
2018-07-07 08:00:00,91.13907965525
2018-07-07 09:00:00,91.13907965525
2018-07-07 10:00:00,91.13907965525
2018-07-07 11:00:00,91.13907965525
2018-07-07 12:00:00,91.13907965525
2018-07-07 13:00:00,91.13907965525
2018-07-07 14:00:00,91.13907965525
2018-07-07 15:00:00,91.13907965525
2018-07-07 16:00:00,91.13907965525
2018-07-07 17:00:00,91.13907965525
2018-07-07 18:00:00,91.13907965525
2018-07-07 19:00:00,91.13907965525
2018-07-07 20:00:00,91.13907965525
2018-07-07 21:00:00,91.13907965525
2018-07-07 22:00:00,91.13907965525
2018-07-07 23:00:00,91.13907965525
2018-07-08 00:00:00,91.13907965525
2018-07-08 01:00:00,91.13907965525
2018-07-08 02:00:00,91.13907965525
2018-07-08 03:00:00,91.13907965525
2018-07-08 04:00:00,91.13907965525
2018-07-08 05:00:00,91.13907965525
2018-07-08 06:00:00,91.13907965525
